itm_mstr_key,sys_cd,form_vrsn,spec_vrsn,itm_srt_id,itm_id,itm_db_id,itm_shrt_label,itm_sect_srt_id,itm_sect_label,itm_grp_cd,itm_loinc_id,itm_type_cd,fixed_rec_srt_id,fixed_rec_strt_byte,fixed_rec_end_byte,fixed_strt_end_bytes,fixed_rec_lngth,itm_vrsn_notes,itm_txt,isc_active,isc_inactive,isc_state_opt,NC,NP,NQ,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX
52,MDS,,,5900,A1600,ENTRY_DT,Entry date (date of admission/reentry in facility),02,A,Asmt,,Date,5900,457,464,457-464,8,,,"NC,NQ,NP,ND,NT,NPE,OSA,SP,SD,ST","IPA,XX",,x,x,x,x,x,x,,x,x,x,x,
53,MDS,,,6000,A1700,ENTRY_TYPE_CD,Type of entry,02,A,Asmt,,Code,6000,465,465,465-465,1,,,"NC,NQ,NP,ND,NT,NPE,SP,SD,ST","IPA,OSA,XX",,x,x,x,x,x,x,,,x,x,x,
54,MDS,,,6100,A1800,ENTRD_FROM_TXT,Entered from,02,A,Asmt,,Code,6100,466,467,466-467,2,,,"NC,NQ,NP,ND,NT,NPE,SP,SD,ST","IPA,OSA,XX",,x,x,x,x,x,x,,,x,x,x,
55,MDS,,,6200,A2000,DSCHRG_DT,Discharge date,02,A,Asmt,,Date,6200,468,475,468-475,8,,,"NC,NQ,NP,ND,NT,NPE,SP,SD,ST","IPA,OSA,XX",,x,x,x,x,x,x,,,x,x,x,
56,MDS,,,6300,A2100,DSCHRG_STUS_CD,Discharge status,02,A,Asmt,,Code,6300,476,477,476-477,2,,,"NC,NQ,NP,ND,NT,NPE,SP,SD,ST","IPA,OSA,XX",,x,x,x,x,x,x,,,x,x,x,
57,MDS,,,6400,A2200,PRVS_ASMT_RFRNC_DT,Previous asmt reference date for signif correction,02,A,Asmt,,Date,6400,478,485,478-485,8,,,"NC,NQ,NP","ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,x,x,x,,,,,,,,,
58,MDS,,,6500,A2300,ASMT_RFRNC_DT,Assessment reference date,02,A,Asmt,,Date,6500,486,493,486-493,8,,,"NC,NQ,NP,ND,NPE,IPA,OSA,SP,SD","NT,ST,XX",,x,x,x,x,,x,x,x,x,x,,
59,MDS,,,6600,B0100,CMTS_CD,Comatose,03,B,Asmt,,Code,6600,511,511,511-511,1,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
60,MDS,,,6700,B0200,HEARG_CD,Hearing,03,B,Asmt,,Code,6700,512,512,512-512,1,,,"NC,NQ,NP,SP","ND,NT,NPE,IPA,OSA,SD,ST,XX",,x,x,x,,,,,,x,,,
61,MDS,,,6800,B0300,HEARG_AID_CD,Hearing aid,03,B,Asmt,,Code,6800,513,513,513-513,1,,,"NC,NQ,NP,SP","ND,NT,NPE,IPA,OSA,SD,ST,XX",,x,x,x,,,,,,x,,,
62,MDS,,,6900,B0600,SPCH_CLRTY_CD,Speech clarity,03,B,Asmt,,Code,6900,514,514,514-514,1,,,"NC,NQ,NP,SP","ND,NT,NPE,IPA,OSA,SD,ST,XX",,x,x,x,,,,,,x,,,
63,MDS,,,7000,B0700,SELF_UNDRSTOD_CD,Makes self understood,03,B,Asmt,,Code,7000,515,515,515-515,1,,,"NC,NQ,NP,IPA,OSA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,x,,,
64,MDS,,,7100,B0800,UNDRST_OTHR_CD,Ability to understand others,03,B,Asmt,,Code,7100,516,516,516-516,1,,,"NC,NQ,NP,SP","ND,NT,NPE,IPA,OSA,SD,ST,XX",,x,x,x,,,,,,x,,,
65,MDS,,,7200,B1000,VSN_CD,Vision,03,B,Asmt,,Code,7200,517,517,517-517,1,,,"NC,NQ,NP,SP","ND,NT,NPE,IPA,OSA,SD,ST,XX",,x,x,x,,,,,,x,,,
66,MDS,,,7300,B1200,CRCTV_LENS_CD,Corrective lenses,03,B,Asmt,,Code,7300,518,518,518-518,1,,,"NC,NQ,NP,SP","ND,NT,NPE,IPA,OSA,SD,ST,XX",,x,x,x,,,,,,x,,,
67,MDS,,,7400,C0100,CNDCT_MENTL_STUS_CD,BIMS: should resident interview be conducted,04,C,Asmt,,Code,7400,519,519,519-519,1,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
68,MDS,,,7500,C0200,WORD_RPET_FIRST_ATMPT_CD,BIMS res interview: repetition of three words,04,C,Asmt,,Code,7500,520,520,520-520,1,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
69,MDS,,,7600,C0300A,RPT_CRCT_YR_CD,BIMS res interview: able to report correct year,04,C,Asmt,,Code,7600,521,521,521-521,1,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
70,MDS,,,7700,C0300B,RPT_CRCT_MO_CD,BIMS res interview: able to report correct month,04,C,Asmt,,Code,7700,522,522,522-522,1,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
71,MDS,,,7800,C0300C,RPT_CRCT_DAY_CD,BIMS res interview: can report correct day of week,04,C,Asmt,,Code,7800,523,523,523-523,1,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
72,MDS,,,7900,C0400A,RCALL_FIRST_WORD_CD,"BIMS res interview: able to recall ""sock""",04,C,Asmt,,Code,7900,524,524,524-524,1,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
73,MDS,,,8000,C0400B,RCALL_SCND_WORD_CD,"BIMS res interview: able to recall ""blue""",04,C,Asmt,,Code,8000,525,525,525-525,1,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
74,MDS,,,8100,C0400C,RCALL_THRD_WORD_CD,"BIMS res interview: able to recall ""bed""",04,C,Asmt,,Code,8100,526,526,526-526,1,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
75,MDS,,,8200,C0500,BIMS_SCRE_NUM,BIMS res interview: summary score,04,C,Asmt,,Number,8200,527,528,527-528,2,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
76,MDS,,,8300,C0600,CNDCT_STF_MENTL_STUS_CD,Staff asmt mental status: conduct asmt,04,C,Asmt,,Code,8300,529,529,529-529,1,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
77,MDS,,,8400,C0700,SHRT_TERM_MEMRY_CD,Staff asmt mental status: short-term memory OK,04,C,Asmt,,Code,8400,530,530,530-530,1,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
78,MDS,,,8500,C0800,LT_MEMRY_CD,Staff asmt mental status: long-term memory OK,04,C,Asmt,,Code,8500,531,531,531-531,1,,,"NC,NQ,NP,SP","ND,NT,NPE,IPA,OSA,SD,ST,XX",,x,x,x,,,,,,x,,,
79,MDS,,,8600,C0900A,RCALL_CRNT_SEASN_CD,Staff asmt mental status: recall current season,04,C,Asmt,,Checklist,8600,532,532,532-532,1,,,"NC,NQ,NP,SP","ND,NT,NPE,IPA,OSA,SD,ST,XX",,x,x,x,,,,,,x,,,
80,MDS,,,8700,C0900B,RCALL_LCTN_ROOM_CD,Staff asmt mental status: recall location of room,04,C,Asmt,,Checklist,8700,533,533,533-533,1,,,"NC,NQ,NP,SP","ND,NT,NPE,IPA,OSA,SD,ST,XX",,x,x,x,,,,,,x,,,
81,MDS,,,8800,C0900C,RCALL_STF_NAME_CD,Staff asmt mental status: recall staff names/faces,04,C,Asmt,,Checklist,8800,534,534,534-534,1,,,"NC,NQ,NP,SP","ND,NT,NPE,IPA,OSA,SD,ST,XX",,x,x,x,,,,,,x,,,
82,MDS,,,8900,C0900D,RCALL_NH_CD,Staff asmt mental status: recall in nh/hosp sw bed,04,C,Asmt,,Checklist,8900,535,535,535-535,1,,,"NC,NQ,NP,SP","ND,NT,NPE,IPA,OSA,SD,ST,XX",,x,x,x,,,,,,x,,,
83,MDS,,,9000,C0900Z,RCALL_NONE_CD,Staff asmt mental status: none of above recalled,04,C,Asmt,,Checklist,9000,536,536,536-536,1,,,"NC,NQ,NP,SP","ND,NT,NPE,IPA,OSA,SD,ST,XX",,x,x,x,,,,,,x,,,
84,MDS,,,9100,C1000,DCSN_MKNG_CD,Cognitive skills for daily decision making,04,C,Asmt,,Code,9100,537,537,537-537,1,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
86,MDS,,,70250,ITEM_FILLER_026,INATTNTN_CD,Item filler: replaces old C1300A,28,Filler,Filler,,Text,9300,538,538,538-538,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,,,,,,,,,,,
87,MDS,,,70260,ITEM_FILLER_027,DISORGNZ_THNKG_CD,Item filler: replaces old C1300B,28,Filler,Filler,,Text,9400,539,539,539-539,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,,,,,,,,,,,
88,MDS,,,70270,ITEM_FILLER_028,ALTRD_CONSCS_CD,Item filler: replaces old C1300C,28,Filler,Filler,,Text,9500,540,540,540-540,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,,,,,,,,,,,
89,MDS,,,70280,ITEM_FILLER_029,PSYCHMTR_RTRDTN_CD,Item filler: replaces old C1300D,28,Filler,Filler,,Text,9600,541,541,541-541,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,,,,,,,,,,,
90,MDS,,,70290,ITEM_FILLER_030,CHG_MENTL_STUS_CD,Item filler: replaces old C1600,28,Filler,Filler,,Text,9700,542,542,542-542,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,OSA,SP,SD,ST,XX",,,,,,,,,,,,,
91,MDS,,,9800,D0100,CNDCT_MOOD_CD,PHQ: should resident mood interview be conducted,05,D,Asmt,,Code,9800,543,543,543-543,1,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
92,MDS,,,9900,D0200A1,INTRST_LOSS_CD,PHQ res: little interest or pleasure - presence,05,D,Asmt,,Code,9900,544,544,544-544,1,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
93,MDS,,,10000,D0200A2,INTRST_LOSS_FREQ_CD,PHQ res: little interest or pleasure - frequency,05,D,Asmt,,Code,10000,545,545,545-545,1,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
94,MDS,,,10100,D0200B1,FEEL_DOWN_CD,"PHQ res: feeling down, depressed - presence",05,D,Asmt,,Code,10100,546,546,546-546,1,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
95,MDS,,,10200,D0200B2,FEEL_DOWN_FREQ_CD,"PHQ res: feeling down, depressed - frequency",05,D,Asmt,,Code,10200,547,547,547-547,1,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
96,MDS,,,10300,D0200C1,TRBL_SLEEP_CD,PHQ res: trouble with sleep - presence,05,D,Asmt,,Code,10300,548,548,548-548,1,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
97,MDS,,,10400,D0200C2,TRBL_SLEEP_FREQ_CD,PHQ res: trouble with sleep - frequency,05,D,Asmt,,Code,10400,549,549,549-549,1,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
98,MDS,,,10500,D0200D1,LTL_ENRGY_CD,PHQ res: feeling tired/little energy - presence,05,D,Asmt,,Code,10500,550,550,550-550,1,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
99,MDS,,,10600,D0200D2,LTL_ENRGY_FREQ_CD,PHQ res: feeling tired/little energy - frequency,05,D,Asmt,,Code,10600,551,551,551-551,1,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
100,MDS,,,10700,D0200E1,POOR_APTIT_CD,PHQ res: poor appetite or overeating - presence,05,D,Asmt,,Code,10700,552,552,552-552,1,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
101,MDS,,,10800,D0200E2,POOR_APTIT_FREQ_CD,PHQ res: poor appetite or overeating - frequency,05,D,Asmt,,Code,10800,553,553,553-553,1,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
102,MDS,,,10900,D0200F1,SELF_DPRCTN_CD,PHQ res: feeling bad about self - presence,05,D,Asmt,,Code,10900,554,554,554-554,1,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
103,MDS,,,11000,D0200F2,SELF_DPRCTN_FREQ_CD,PHQ res: feeling bad about self - frequency,05,D,Asmt,,Code,11000,555,555,555-555,1,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
104,MDS,,,11100,D0200G1,CNCNTRTN_CD,PHQ res: trouble concentrating - presence,05,D,Asmt,,Code,11100,556,556,556-556,1,,,"NC,NQ,NP,ND,IPA,OSA,SP,SD","NT,NPE,ST,XX",,x,x,x,x,,,x,x,x,x,,
